date,stock_code,action,price,shares
2024-02-23,603031.SH,BUY,28.99,77
2024-02-23,603922.SH,BUY,17.15,128
2024-02-23,603237.SH,BUY,18.15,124
2024-02-23,600265.SH,BUY,16.51,136
2024-02-23,605009.SH,BUY,25.72,87
2024-02-23,002259.SZ,BUY,3.54,659
2024-02-23,002713.SZ,BUY,4.29,521
2024-02-23,002742.SZ,BUY,1.99,1143
2024-02-23,603125.SH,BUY,12.71,176
2024-02-23,600182.SH,BUY,11.98,188
2024-02-23,600681.SH,BUY,3.3,683
2024-02-23,600365.SH,BUY,3.01,740
2024-02-23,600064.SH,BUY,5.86,384
2024-02-23,603579.SH,BUY,13.08,172
2024-02-23,002289.SZ,BUY,4.4,507
2024-02-23,002027.SZ,BUY,5.58,401
2024-02-23,605259.SH,BUY,13.91,161
2024-02-23,605377.SH,BUY,9.82,228
2024-02-23,002951.SZ,BUY,4.97,450
2024-02-23,002200.SZ,BUY,6.43,353
2024-03-04,002027.SZ,SELL,5.61,401
2024-03-04,002713.SZ,SELL,4.64,521
2024-03-04,002951.SZ,SELL,4.97,450
2024-03-04,600365.SH,SELL,2.99,740
2024-03-04,603579.SH,SELL,13.05,172
2024-03-04,605377.SH,SELL,10.53,228
2024-03-04,603031.SH,BUY,28.72,1
2024-03-04,603237.SH,BUY,17.68,3
2024-03-04,002259.SZ,SELL,3.54,1
2024-03-04,002742.SZ,BUY,1.91,36
2024-03-04,002700.SZ,BUY,4.8,475
2024-03-04,002289.SZ,SELL,4.53,6
2024-03-04,605009.SH,BUY,25.3,2
2024-03-04,603559.SH,BUY,5.36,422
2024-03-04,600681.SH,SELL,3.36,4
2024-03-04,002200.SZ,SELL,6.46,20
2024-03-04,600064.SH,BUY,5.75,9
2024-03-04,600654.SH,BUY,2.42,935
2024-03-04,000839.SZ,BUY,2.03,1114
2024-03-04,603855.SH,BUY,17.17,132
2024-03-04,002816.SZ,BUY,9.83,231
2024-04-02,002200.SZ,SELL,6.34,333
2024-04-02,002700.SZ,SELL,6.02,475
2024-04-02,002816.SZ,SELL,11.26,231
2024-04-02,600064.SH,SELL,5.78,393
2024-04-02,603031.SH,SELL,32.66,78
2024-04-02,603855.SH,SELL,20.94,132
2024-04-02,605009.SH,SELL,26.62,89
2024-04-02,605259.SH,SELL,15.8,161
2024-04-02,600671.SH,BUY,9.1,262
2024-04-02,002259.SZ,BUY,3.36,49
2024-04-02,603237.SH,BUY,18.33,3
2024-04-02,600182.SH,SELL,12.82,1
2024-04-02,603559.SH,BUY,4.78,74
2024-04-02,002289.SZ,SELL,5.01,17
2024-04-02,603757.SH,BUY,21.21,112
2024-04-02,000839.SZ,BUY,2.02,70
2024-04-02,002742.SZ,BUY,1.89,76
2024-04-02,603125.SH,BUY,13.59,3
2024-04-02,600265.SH,BUY,16.89,6
2024-04-02,000889.SZ,BUY,1.73,1375
2024-04-02,002086.SZ,BUY,2.33,1022
2024-04-02,002005.SZ,BUY,1.17,2045
2024-04-02,603922.SH,SELL,20.34,10
2024-04-02,600530.SH,BUY,2.27,1050
2024-04-02,000711.SZ,BUY,1.73,1383
2024-04-02,603268.SH,BUY,18.4,128
2024-04-02,600681.SH,BUY,3.31,43
2024-04-02,600654.SH,SELL,2.78,74
2024-04-16,603268.SH,SELL,13.88,128
2024-04-17,603559.SH,SELL,4.25,496
2024-04-18,000889.SZ,SELL,1.42,1375
2024-04-18,002742.SZ,SELL,1.61,1255
2024-04-22,002289.SZ,SELL,3.55,484
2024-04-22,600530.SH,SELL,1.88,1050
2024-04-26,002005.SZ,SELL,0.99,2045
2024-05-07,000711.SZ,SELL,1.78,1383
2024-05-07,000839.SZ,SELL,2.2,1184
2024-05-07,002086.SZ,SELL,2.42,1022
2024-05-07,002259.SZ,SELL,3.16,707
2024-05-07,600265.SH,SELL,17.62,142
2024-05-07,600654.SH,SELL,2.44,861
2024-05-07,603922.SH,SELL,19.95,4
2024-05-07,603237.SH,SELL,19.07,11
2024-05-07,002200.SZ,BUY,5.17,433
2024-05-07,002005.SZ,BUY,1.1,2090
2024-05-07,600681.SH,SELL,3.38,55
2024-05-07,000889.SZ,BUY,1.52,1557
2024-05-07,002742.SZ,BUY,1.41,1583
2024-05-07,600530.SH,BUY,2.02,1119
2024-05-07,600182.SH,SELL,13.96,25
2024-05-07,600671.SH,BUY,8.59,3
2024-05-07,600165.SH,BUY,0.66,3293
2024-05-07,601200.SH,BUY,7.63,296
2024-05-07,603757.SH,BUY,19.87,1
2024-05-07,002027.SZ,BUY,5.88,383
2024-05-07,603125.SH,SELL,14.08,16
2024-05-07,000908.SZ,BUY,0.83,2800
2024-05-07,603778.SH,BUY,3.73,645
2024-05-07,002656.SZ,BUY,1.27,1685
2024-05-07,000637.SZ,BUY,3.45,668
